Folder,Image_Count,Excel_Rows,Status,Actual_Seeds,Weight_g,Diam_mm,Container_H_mm,Empty_H_mm,Rice_H_mm,Folder_Size_MB,Note,Images
M017,6,5,LỆCH KHỚP,35,0.89,17.8,33.9,26.0,7.899999999999999,41.12,Thừa 1 ảnh (6 vs 5),"M017A.jpg, M017B.jpg, M017C.jpg, M017D.jpg, M017E.jpg, M017F.jpg"
M018,5,5,KHỚP,90,2.34,17.8,33.9,14.9,19.0,34.58,Đạt chuẩn,"M018A.jpg, M018B.jpg, M018C.jpg, M018D.jpg, M018E.jpg"
M019,5,5,KHỚP,95,2.44,17.8,33.9,14.0,19.9,34.77,Đạt chuẩn,"M019A.jpg, M019B.jpg, M019C.jpg, M019D.jpg, M019E.jpg"
M020,5,5,KHỚP,100,2.58,17.8,33.9,13.0,20.9,35.04,Đạt chuẩn,"M020A.jpg, M020B.jpg, M020C.jpg, M020D.jpg, M020E.jpg"
M021,6,5,LỆCH KHỚP,25,0.6,17.8,33.9,28.6,5.299999999999997,41.44,Thừa 1 ảnh (6 vs 5),"M021A.jpg, M021B.jpg, M021C.jpg, M021D.jpg, M021E.jpg, M021F.jpg"
M022,5,5,KHỚP,110,2.94,17.8,33.9,9.8,24.099999999999998,34.78,Đạt chuẩn,"M022A.jpg, M022B.jpg, M022C.jpg, M022D.jpg, M022E.jpg"
M023,5,5,KHỚP,120,3.22,17.8,33.9,8.5,25.4,34.64,Đạt chuẩn,"M023A.jpg, M023B.jpg, M023C.jpg, M023D.jpg, M023E.jpg"
M024,5,5,KHỚP,130,3.46,17.8,33.9,6.6,27.299999999999997,34.91,Đạt chuẩn,"M024A.jpg, M024B.jpg, M024C.jpg, M024D.jpg, M024E.jpg"
M025,2,5,LỆCH KHỚP,140,3.71,17.8,33.9,3.4,30.5,13.88,Thiếu 3 ảnh (2 vs 5),"M025A.jpg, M025B.jpg"
M026,2,5,LỆCH KHỚP,150,3.95,22.8,37.1,18.5,18.6,14.02,Thiếu 3 ảnh (2 vs 5),"M026A.jpg, M026B.jpg"
M027,3,5,LỆCH KHỚP,155,4.07,22.8,37.1,17.5,19.6,21.05,Thiếu 2 ảnh (3 vs 5),"M027A.jpg, M027B.jpg, M027C.jpg"
M028,5,5,KHỚP,160,4.19,22.8,37.1,16.9,20.200000000000003,35.35,Đạt chuẩn,"M028A.jpg, M028B.jpg, M028C.jpg, M028D.jpg, M028E.jpg"
M029,5,5,KHỚP,165,4.31,22.8,37.1,16.8,20.3,35.25,Đạt chuẩn,"M029A.jpg, M029B.jpg, M029C.jpg, M029D.jpg, M029E.jpg"
M030,2,5,LỆCH KHỚP,170,4.46,22.8,37.1,16.0,21.1,14.04,Thiếu 3 ảnh (2 vs 5),"M030A.jpg, M030B.jpg"
M031,2,5,LỆCH KHỚP,175,4.6,22.8,37.1,14.9,22.200000000000003,14.17,Thiếu 3 ảnh (2 vs 5),"M031A.jpg, M031B.jpg"
M032,2,5,LỆCH KHỚP,180,4.73,22.8,37.1,14.3,22.8,13.99,Thiếu 3 ảnh (2 vs 5),"M032A.jpg, M032B.jpg"
M033,5,5,KHỚP,185,4.84,22.8,37.1,13.2,23.900000000000002,34.97,Đạt chuẩn,"M033A.jpg, M033B.jpg, M033C.jpg, M033D.jpg, M033E.jpg"
M034,2,5,LỆCH KHỚP,190,5.0,22.8,37.1,12.7,24.400000000000002,13.95,Thiếu 3 ảnh (2 vs 5),"M034A.jpg, M034B.jpg"
M035,2,5,LỆCH KHỚP,195,5.13,22.8,37.1,12.0,25.1,14.02,Thiếu 3 ảnh (2 vs 5),"M035A.jpg, M035B.jpg"
M036,2,5,LỆCH KHỚP,200,5.24,22.8,37.1,11.6,25.5,14.31,Thiếu 3 ảnh (2 vs 5),"M036A.jpg, M036B.jpg"
M037,5,5,KHỚP,205,5.4,22.8,37.1,10.9,26.200000000000003,35.39,Đạt chuẩn,"M037A.jpg, M037B.jpg, M037C.jpg, M037D.jpg, M037E.jpg"
M038,5,5,KHỚP,210,5.53,22.8,37.1,10.2,26.900000000000002,35.3,Đạt chuẩn,"M038A.jpg, M038B.jpg, M038C.jpg, M038D.jpg, M038E.jpg"
M039,1,5,LỆCH KHỚP,215,5.69,22.8,37.1,9.6,27.5,7.01,Thiếu 4 ảnh (1 vs 5),M039A.jpg
M040,5,5,KHỚP,220,5.82,22.8,37.1,8.8,28.3,35.44,Đạt chuẩn,"M040A.jpg, M040B.jpg, M040C.jpg, M040D.jpg, M040E.jpg"
M041,5,5,KHỚP,225,5.96,22.8,37.1,8.5,28.6,34.92,Đạt chuẩn,"M041A.jpg, M041B.jpg, M041C.jpg, M041D.jpg, M041E.jpg"
M042,4,5,LỆCH KHỚP,230,6.08,22.8,37.1,8.1,29.0,27.96,Thiếu 1 ảnh (4 vs 5),"M042A.jpg, M042B.jpg, M042C.jpg, M042D.jpg"
M043,5,5,KHỚP,235,6.2,22.8,37.1,7.4,29.700000000000003,35.11,Đạt chuẩn,"M043A.jpg, M043B.jpg, M043C.jpg, M043D.jpg, M043E.jpg"
M044,5,5,KHỚP,240,6.34,22.8,37.1,6.8,30.3,35.0,Đạt chuẩn,"M044A.jpg, M044B.jpg, M044C.jpg, M044D.jpg, M044E.jpg"
M045,5,5,KHỚP,245,6.46,22.8,37.1,6.4,30.700000000000003,35.04,Đạt chuẩn,"M045A.jpg, M045B.jpg, M045C.jpg, M045D.jpg, M045E.jpg"
M046,5,5,KHỚP,250,6.61,22.8,37.1,6.2,30.900000000000002,35.21,Đạt chuẩn,"M046A.jpg, M046B.jpg, M046C.jpg, M046D.jpg, M046E.jpg"
M047,5,5,KHỚP,255,6.75,22.8,37.1,5.4,31.700000000000003,35.21,Đạt chuẩn,"M047A.jpg, M047B.jpg, M047C.jpg, M047D.jpg, M047E.jpg"
M048,5,5,KHỚP,260,6.84,22.8,37.1,4.9,32.2,35.21,Đạt chuẩn,"M048A.jpg, M048B.jpg, M048C.jpg, M048D.jpg, M048E.jpg"
M049,5,5,KHỚP,265,6.98,22.8,37.1,4.0,33.1,35.24,Đạt chuẩn,"M049A.jpg, M049B.jpg, M049C.jpg, M049D.jpg, M049E.jpg"
M050,5,5,KHỚP,270,7.08,22.8,37.1,3.8,33.300000000000004,35.42,Đạt chuẩn,"M050A.jpg, M050B.jpg, M050C.jpg, M050D.jpg, M050E.jpg"
M051,5,5,KHỚP,275,7.21,22.8,37.1,3.7,33.4,35.29,Đạt chuẩn,"M051A.jpg, M051B.jpg, M051C.jpg, M051D.jpg, M051E.jpg"
M052,5,5,KHỚP,280,7.41,22.8,37.1,2.3,34.800000000000004,34.65,Đạt chuẩn,"M052A.jpg, M052B.jpg, M052C.jpg, M052D.jpg, M052E.jpg"
M053,5,5,KHỚP,285,7.57,22.8,37.1,2.2,34.9,34.77,Đạt chuẩn,"M053A.jpg, M053B.jpg, M053C.jpg, M053D.jpg, M053E.jpg"
M054,5,5,KHỚP,290,7.71,22.8,37.1,1.9,35.2,34.84,Đạt chuẩn,"M054A.jpg, M054B.jpg, M054C.jpg, M054D.jpg, M054E.jpg"
M055,6,5,LỆCH KHỚP,295,7.82,22.8,37.1,1.6,35.5,41.78,Thừa 1 ảnh (6 vs 5),"M055A.jpg, M055B.jpg, M055C.jpg, M055D.jpg, M055E.jpg, M055F.jpg"
M056,6,5,LỆCH KHỚP,300,7.96,22.8,37.1,0.8,36.300000000000004,41.73,Thừa 1 ảnh (6 vs 5),"M056A.jpg, M056B.jpg, M056C.jpg, M056D.jpg, M056E.jpg, M056F.jpg"
M057,5,5,KHỚP,305,8.08,22.8,37.1,0.2,36.9,33.87,Đạt chuẩn,"M057A.jpg, M057B.jpg, M057C.jpg, M057D.jpg, M057E.jpg"
