source_row_id,Sample_ID,group_id,split_role,fold
117,M024c,M024,TRAIN,1
118,M024d,M024,TRAIN,1
119,M024e,M024,TRAIN,1
120,M025a,M025,TRAIN,4
121,M025b,M025,TRAIN,4
125,M026a,M026,TRAIN,4
126,M026b,M026,TRAIN,4
130,M027a,M027,TRAIN,3
131,M027b,M027,TRAIN,3
132,M027c,M027,TRAIN,3
140,M029a,M029,TRAIN,0
141,M029b,M029,TRAIN,0
142,M029c,M029,TRAIN,0
143,M029d,M029,TRAIN,0
144,M029e,M029,TRAIN,0
145,M030a,M030,TRAIN,3
146,M030b,M030,TRAIN,3
160,M033a,M033,TRAIN,2
161,M033b,M033,TRAIN,2
162,M033c,M033,TRAIN,2
163,M033d,M033,TRAIN,2
164,M033e,M033,TRAIN,2
165,M034a,M034,TRAIN,4
166,M034b,M034,TRAIN,4
175,M036a,M036,TRAIN,2
176,M036b,M036,TRAIN,2
180,M037a,M037,TRAIN,1
181,M037b,M037,TRAIN,1
182,M037c,M037,TRAIN,1
183,M037d,M037,TRAIN,1
184,M037e,M037,TRAIN,1
185,M038a,M038,TRAIN,0
186,M038b,M038,TRAIN,0
187,M038c,M038,TRAIN,0
188,M038d,M038,TRAIN,0
189,M038e,M038,TRAIN,0
190,M039a,M039,TRAIN,0
195,M040a,M040,TRAIN,4
196,M040b,M040,TRAIN,4
197,M040c,M040,TRAIN,4
198,M040d,M040,TRAIN,4
199,M040e,M040,TRAIN,4
200,M041a,M041,TRAIN,2
201,M041b,M041,TRAIN,2
202,M041c,M041,TRAIN,2
203,M041d,M041,TRAIN,2
204,M041e,M041,TRAIN,2
205,M042a,M042,TRAIN,2
206,M042b,M042,TRAIN,2
207,M042c,M042,TRAIN,2
208,M042d,M042,TRAIN,2
210,M043a,M043,TRAIN,1
211,M043b,M043,TRAIN,1
212,M043c,M043,TRAIN,1
213,M043d,M043,TRAIN,1
214,M043e,M043,TRAIN,1
215,M044a,M044,TRAIN,0
216,M044b,M044,TRAIN,0
217,M044c,M044,TRAIN,0
218,M044d,M044,TRAIN,0
219,M044e,M044,TRAIN,0
220,M045a,M045,TRAIN,4
221,M045b,M045,TRAIN,4
222,M045c,M045,TRAIN,4
223,M045d,M045,TRAIN,4
224,M045e,M045,TRAIN,4
230,M047a,M047,TRAIN,3
231,M047b,M047,TRAIN,3
232,M047c,M047,TRAIN,3
233,M047d,M047,TRAIN,3
234,M047e,M047,TRAIN,3
240,M049a,M049,TRAIN,2
241,M049b,M049,TRAIN,2
242,M049c,M049,TRAIN,2
243,M049d,M049,TRAIN,2
244,M049e,M049,TRAIN,2
245,M050a,M050,TRAIN,1
246,M050b,M050,TRAIN,1
247,M050c,M050,TRAIN,1
248,M050d,M050,TRAIN,1
249,M050e,M050,TRAIN,1
250,M051a,M051,TRAIN,0
251,M051b,M051,TRAIN,0
252,M051c,M051,TRAIN,0
253,M051d,M051,TRAIN,0
254,M051e,M051,TRAIN,0
255,M052a,M052,TRAIN,4
256,M052b,M052,TRAIN,4
257,M052c,M052,TRAIN,4
258,M052d,M052,TRAIN,4
259,M052e,M052,TRAIN,4
260,M053a,M053,TRAIN,3
261,M053b,M053,TRAIN,3
262,M053c,M053,TRAIN,3
263,M053d,M053,TRAIN,3
264,M053e,M053,TRAIN,3
265,M054a,M054,TRAIN,2
266,M054b,M054,TRAIN,2
267,M054c,M054,TRAIN,2
268,M054d,M054,TRAIN,2
269,M054e,M054,TRAIN,2
270,M055a,M055,TRAIN,1
271,M055b,M055,TRAIN,1
272,M055c,M055,TRAIN,1
273,M055d,M055,TRAIN,1
274,M055e,M055,TRAIN,1
280,M057a,M057,TRAIN,0
281,M057b,M057,TRAIN,0
282,M057c,M057,TRAIN,0
283,M057d,M057,TRAIN,0
284,M057e,M057,TRAIN,0
0,M001a,M001,TEST,-1
1,M001b,M001,TEST,-1
2,M001c,M001,TEST,-1
3,M001d,M001,TEST,-1
4,M001e,M001,TEST,-1
15,M004a,M004,TEST,-1
16,M004b,M004,TEST,-1
17,M004c,M004,TEST,-1
18,M004d,M004,TEST,-1
19,M004e,M004,TEST,-1
25,M006a,M006,TEST,-1
26,M006b,M006,TEST,-1
27,M006c,M006,TEST,-1
28,M006d,M006,TEST,-1
29,M006e,M006,TEST,-1
60,M013a,M013,TEST,-1
61,M013b,M013,TEST,-1
62,M013c,M013,TEST,-1
63,M013d,M013,TEST,-1
64,M013e,M013,TEST,-1
65,M014a,M014,TEST,-1
66,M014b,M014,TEST,-1
67,M014c,M014,TEST,-1
68,M014d,M014,TEST,-1
69,M014e,M014,TEST,-1
135,M028a,M028,TEST,-1
136,M028b,M028,TEST,-1
137,M028c,M028,TEST,-1
138,M028d,M028,TEST,-1
139,M028e,M028,TEST,-1
150,M031a,M031,TEST,-1
151,M031b,M031,TEST,-1
155,M032a,M032,TEST,-1
156,M032b,M032,TEST,-1
170,M035a,M035,TEST,-1
171,M035b,M035,TEST,-1
225,M046a,M046,TEST,-1
226,M046b,M046,TEST,-1
227,M046c,M046,TEST,-1
228,M046d,M046,TEST,-1
229,M046e,M046,TEST,-1
235,M048a,M048,TEST,-1
236,M048b,M048,TEST,-1
237,M048c,M048,TEST,-1
238,M048d,M048,TEST,-1
239,M048e,M048,TEST,-1
275,M056a,M056,TEST,-1
276,M056b,M056,TEST,-1
277,M056c,M056,TEST,-1
278,M056d,M056,TEST,-1
279,M056e,M056,TEST,-1
